STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	25003	4.025377249228	36.5475042666557	1	0	1	1	2
2	17149	38.5264646587046	150.552100125615	1	0	1	2	3.06869786489966
3	5313	389.624387622968	590.479868925786	1	0	1	3	3.72883721682816
4	3245	1913.92190126119	1388.45878318553	1	0	1	4	5.35520630069938
1	27467	7.81716562083664	47.4042352807228	1	0	2	1	2.07913303941103
2	23375	146.024561141407	359.204022821915	1	0	2	2	13.4074664435328
3	4807	1691.53620026368	1049.9157944811	1	0	2	3	8.05902491765344
1	20427	10.4173050301914	75.0971384840434	1	0	3	1	2.87596397996229
2	35387	49.1295024975407	164.764787816244	1	0	3	2	10.9310936263853
3	11319	183.909726425831	302.597149194311	1	0	3	3	6.42137978812702
4	3586	710.035642490189	555.124711651119	1	0	3	4	3.73212611139616
5	8019	1379.08665925409	602.192003452115	1	0	3	5	9.05337818208508
1	10197	58.8994976557992	211.962676673543	1	0	4	1	4.2472222955289
2	12529	307.619016052336	405.275122832371	1	0	4	2	9.97790886680658
3	3707	984.826826442481	641.818515123093	1	0	4	3	4.67528408519658
4	2288	1688.63712262222	1028.08007512292	1	0	4	4	4.62227883215835
1	10934	47.3736178392777	121.65442620902	1	0	5	1	2.63746659712409
2	15851	149.254430259788	308.017138229431	1	0	5	2	9.68080631806528
3	6039	623.038336122262	608.325478289432	1	0	5	3	7.28418588001321
4	4510	1296.52868439001	1148.84688906184	1	0	5	4	10.2735059857134
