STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	34694	2693.92408879015	1898.61421308646	3743.84250869847	1788.31041508347	112.854925652573	926.655254123132	1231.30192857762	7.11282752476375	1753.94137705825	590.868744050769	25.1202012540591	8.51038401904789	93.2148479186108	1013.3459266726	34.3250127919549	14192.51331221	4625.48781763492	9286.76090946033	6953.53153403504	415.057769169878	2630.35960704089	2247.5559162632	28.3343098856717	2212.9525623747	9978.37737471012	520.065434664468	155.958531719066	649.947320628236	9573.22658618356	1031.44907753058	1	0	1	1	39.4418894458979
2	3223	3281.0603146316	1285.15944040118	7167.39276739204	1988.39103705357	392.372626016958	205.592381434643	293.499402478595	23.340115670214	1211.25560782225	1956.86023652927	22.9880819351799	1.13312042142324	171.555603072043	768.789524020665	14.4344412566586	28576.16611219	2698.03693598015	17149.9287327866	6572.60289822385	1045.18243463558	646.20717481471	728.874365172853	56.6458349681291	1530.24464341863	15439.9140574794	126.561396192923	6.38272669736462	680.314812483197	5411.80043033244	103.71926504848	1	0	1	2	3.78023876797955
3	6523	2022.97097857655	1025.5161550219	7959.50987869873	1751.56389028768	635.354012465209	110.178517254511	142.277248434654	41.114027074077	970.145328658785	2102.16439241934	97.8186185272372	1.96864457459154	152.447637263487	448.350828188201	144.219897682802	10030.3648256488	2868.24807822211	16712.9222425847	5609.17983753163	1462.76486359554	719.034833999626	773.386882384003	107.581763822438	1369.24485584833	26532.6241972945	474.227800992751	12.424019624598	981.719280638906	2572.6654883625	991.514275098716	1	0	1	3	6.77685580344188
4	3432	1526.2480213262	588.197112795464	1955.59729047414	119.605221864874	549.764687773166	68.5207499513109	121.610389305787	68.8932599603043	433.891320280184	6562.03809190984	611.001730744524	1.29393149874822	180.678428455939	797.536475216152	1680.69145405776	5198.67620380846	1763.76521215038	4548.23230463228	883.921742745273	900.148549946699	288.937684419222	598.487783104783	326.029227058503	902.114496767325	39646.3008474054	2118.89124526266	8.7708275010669	1011.69164296098	6667.28925769685	3477.87162744011	1	0	1	4	3.16075401513745
5	1573	911.932601406236	333.564981516379	1267.99007962457	24.5258148799027	247.725871607092	60.9310571901965	85.7370961391239	189.998971320016	380.836923282889	31373.8583309566	1070.82989356436	2.29241334162217	378.469569361097	1384.19178969501	3467.7664124763	3092.64830918974	1429.79850913897	2281.24728044961	74.2247747774813	442.122367906687	350.985771126956	403.538586565283	335.537034307581	904.879342758645	150259.441820054	2470.75773964811	16.8246727059757	2137.91393823384	12026.1255835275	4580.9485876201	1	0	1	5	2.15280189582084
1	37444	1827.42309287592	1227.4994561618	5943.18489256309	1031.19536857195	445.714255452862	221.104582316686	505.966300312638	82.2345838223518	1577.92396332074	2543.20521070904	27.739710169508	15.1701899719039	340.052004207494	1109.86907121318	25.6357471425707	12234.1036440868	3738.64571878244	14061.7872141068	3089.296460478	1485.33308545076	818.450217900403	1344.05588778007	249.835960847509	2187.16168756626	40984.0713470968	181.241748409947	322.719271294924	4366.75897833125	13349.1421587793	309.81165291899	1	0	2	1	42.5111334491871
2	8690	4717.92635290299	510.205705991248	10530.7901020568	669.953217187721	812.073418543867	8.80839017641632	39.2452863922248	337.873951283332	519.907346384874	12002.8139532724	188.614958970725	32.1692679418723	164.470522841473	88.5410614460744	154.210885686346	38330.4567786621	1217.15852806912	19836.4234682579	1459.0397267599	1708.86323509379	147.360661057953	637.433399751731	697.908202125706	747.403350318336	156840.520554894	1057.38280847906	228.271993564185	945.467563062835	680.707066326658	856.815122177435	1	0	2	2	10.0861165321294
3	3597	1951.06325294592	363.974527999157	6648.3238609888	368.504122864073	220.431674492027	33.2836037786944	36.3527831822144	202.300268584992	406.627007571393	5839.26257660778	247.729285051271	6.58504100377739	37.7648539087983	26.1049780784838	401.443314053748	11446.2158887208	859.137194689671	12447.5846174347	668.025976077686	413.191280495257	393.919174046046	313.79381543047	512.228598061732	711.647456142619	226110.995344098	648.318692415669	40.2092308456461	321.245849770027	902.33384161197	1631.54121179636	1	0	2	3	2.42667273871213
4	1881	1568.1334776087	147.131791998385	757.480159395228	9.86852014788469	228.843497651256	0.138437999705852	0.661989420479613	433.509938230594	104.312201148824	68998.5686921277	566.450263342305	12.0686415369144	78.1253965754382	59.9938987343657	2530.13894534585	11397.1344628472	636.31794145286	1638.26554437135	64.4350554430904	465.784785732953	2.31359527088334	10.4071980427988	725.276448963026	226.101736934744	705123.588533531	1204.63306451355	39.4127839638765	449.058622860295	376.503579781636	3135.95264057099	1	0	2	4	2.63316872141885
5	3102	1119.7849149646	36.0855193976895	261.368141526563	0.879032407217953	95.3281084556014	0.00866313672666232	0.00283605682882404	374.974539695677	37.3789644719658	29506.3983261291	348.25945610834	8.49624478056171	21.1681738849704	21.4407352115952	1496.89393214695	8253.05784146869	249.259107531574	910.041286038594	5.96036799327245	330.80375775998	0.0891259983740379	0.0297375991367019	646.905139922833	106.369245259224	345428.753598001	1077.19700260204	29.7501181478838	214.241438129535	226.291857990017	2186.52386797653	1	0	2	5	3.01458426319564
1	7414	4138.7990557227	1042.13394928717	3472.45394561583	2040.48270041307	65.8781673101986	530.549655469309	713.094513799957	27.5071762907122	1766.98496717952	129.310167711527	45.0341429207794	8.39857397931512	21.9556999697798	26.0541997287536	2.74573172494297	41024.997118415	2601.59089103583	11283.7796719281	9580.42429731354	359.712578509524	2213.20325991109	2044.8862860229	159.72392361197	2289.66141065152	1607.91663870227	591.756662846175	46.2716830798711	179.530910340516	267.599798496615	41.1803213276877	1	0	3	1	8.61636806107449
2	8173	2386.07450152308	1550.29119858294	3442.72320977824	728.263826333424	99.5232016398271	477.60721769066	1417.60348999039	35.827791201778	4024.14642961414	1204.83629136559	52.2358796971573	11.073430938497	28.7084402477825	137.982228546142	2.35305217471867	16643.6719458306	3967.78631058829	9275.51932710001	3731.02272840989	389.699658413852	1425.81596328302	2888.4361054327	311.317218148419	6454.73832828162	11012.8573804011	837.584607478697	65.3949131239984	203.375946320585	1127.8917368431	31.7266304350319	1	0	3	2	7.85234778899422
