"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED"
40001,"Cnidaria","coelenterate unid.",1989
40010,"Hydrozoa","",1988
40011,"Hydroidolina","hydroid unid.",1984
40020,"Hydractinia sp.","",1984
40050,"Sertularia robusta","",1989
40500,"Scyphozoa","jellyfish unid.",1988
40501,"Chrysaora sp.","chrysaora jellyfish",1984
40510,"Atolla sp.","",1984
40560,"Cyanea sp.","",1984
40561,"Cyanea capillata","lion's mane",1984
41000,"Anthozoa","",1988
41100,"Alcyonacea","soft coral unid.",1988
41201,"Gersemia sp.","sea raspberry",1984
41221,"Gersemia rubiformis","",1984
41500,"Gorgonacea","gorgonian coral unid.",1988
41520,"Primnoa sp.","",1984
41522,"Primnoa willeyi","red tree coral",1989
41580,"Paragorgia sp.","",1984
41582,"Paragorgia arborea","Kamchatka coral",1989
41600,"Callogorgia sp.","",1984
42000,"Pennatulacea","sea whip or sea pen unid.",1988
42001,"Virgularia sp.","smoothstem seawhip",1984
42005,"Stylatula gracile","roughstem seawhip",1984
42008,"Halipteris sp.","",1984
42010,"Halipteris finmarchia","",1984
42017,"Ptilosarcus gurneyi","orange sea pen",1984
43000,"Actiniaria","sea anemone unid.",1988
43010,"Metridium sp.","",1984
43020,"Metridium senile","clonal plumose anemone",1984
43040,"Urticina sp.","",1984
30320,"Sebastes maliger","quillback rockfish",1984
30330,"Sebastes melanops","black rockfish",1984
30340,"Sebastes melanostomus","blackgill rockfish",1984
30350,"Sebastes miniatus","vermilion rockfish",1984
30360,"Sebastes mystinus","blue rockfish",1984
30370,"Sebastes nebulosus","China rockfish",1984
30380,"Sebastes nigrocinctus","tiger rockfish",1984
30390,"Sebastes ovalis","speckled rockfish",1984
30400,"Sebastes paucispinis","bocaccio",1984
30410,"Sebastes pinniger","canary rockfish",1984
30420,"Sebastes polyspinis","northern rockfish",1984
30430,"Sebastes proriger","redstripe rockfish",1984
30460,"Sebastes rosaceus","rosy rockfish",1984
30470,"Sebastes ruberrimus","yelloweye rockfish",1984
30475,"Sebastes babcocki","redbanded rockfish",1984
30480,"Sebastes rubrivinctus","flag rockfish",1984
30490,"Sebastes saxicola","stripetail rockfish",1984
30500,"Sebastes semicinctus","halfbanded rockfish",1984
30510,"Sebastes serranoides","olive rockfish",1984
30535,"Sebastes variegatus","harlequin rockfish",1984
30540,"Sebastes vexillaris","whitebelly rockfish",1984
30550,"Sebastes wilsoni","pygmy rockfish",1984
30560,"Sebastes zacentrus","sharpchin rockfish",1984
30570,"Sebastes phillipsi","chameleon rockfish",1984
30575,"Sebastes rufus","bank rockfish",1984
30576,"Sebastes borealis","shortraker rockfish",1984
30580,"","black rockfish unid.",1984
30590,"","red rockfish unid.",1984
30600,"Sebastes reedi","yellowmouth rockfish",1984
30611,"Sebastes rosenblatti","greenblotched rockfish",1984
30030,"Sebastolobus altivelis","longspine thornyhead",1984
30040,"Sebastes sp.","rockfish unid.",1984
30050,"","rougheye and blackspotted rockfish unid.",1984
30060,"Sebastes alutus","Pacific ocean perch",1984
30080,"Sebastes auriculatus","brown rockfish",1984
30090,"Sebastes aurora","aurora rockfish",1984
30100,"Sebastes brevispinis","silvergray rockfish",1984
30110,"Sebastes carnatus","gopher rockfish",1984
30120,"Sebastes caurinus","copper rockfish",1984
30130,"Sebastes chlorostictus","greenspotted rockfish",1984
30150,"","dusky and dark rockfishes unid.",1984
30151,"Sebastes ciliatus","dark rockfish",1995
30152,"Sebastes variabilis","dusky rockfish",1989
30160,"Sebastes constellatus","starry rockfish",1984
30170,"Sebastes crameri","darkblotched rockfish",1984
30180,"Sebastes dalli","calico rockfish",1984
30190,"Sebastes diploproa","splitnose rockfish",1984
30200,"Sebastes elongatus","greenstriped rockfish",1984
30210,"Sebastes emphaeus","Puget Sound rockfish",1984
30220,"Sebastes entomelas","widow rockfish",1984
30230,"Sebastes eos","pink rockfish",1984
30240,"Sebastes flavidus","yellowtail rockfish",1984
30250,"Sebastes gilli","bronzespotted rockfish",1984
30260,"Sebastes goodei","chilipepper",1984
21340,"Malacocottus kincaidi","blackfin sculpin",1984
21341,"Malacocottus zonurus","darkfin sculpin",1984
21342,"Hemilepidotus sp.","Irish lord",1984
21343,"Hemilepidotus gilberti","banded Irish lord",1989
21344,"Hemilepidotus spinosus","brown Irish lord",1984
21345,"Hemilepidotus zapus","longfin Irish lord",1984
21346,"Hemilepidotus hemilepidotus","red Irish lord",1984
21347,"Hemilepidotus jordani","yellow Irish lord",1984
20801,"Porichthys notatus","plainfin midshipman",1984
20802,"Porichthys sp.","",1984
20842,"Brama japonica","Pacific pomfret",1984
20871,"Bathylaco nigricans","bonythroat",1991
20900,"Ophidiidae","cusk-eel unid.",1984
20901,"Chilara taylori","spotted cusk-eel",1989
20902,"Ophidion scrippsae","basketweave cusk-eel",1989
20905,"Lamprogrammus niger","paperbone cusk-eel",1988
20910,"Dicrolene filamentosa","threadfin cusk-eel",1984
20920,"Cataetyx sp.","",1984
66205,"Lebbeus mundus","cleaner lebbeid",2010
20921,"Cataetyx rubrirostris","rubynose brotula",1984
20930,"Brosmophycis marginata","red brotula",1984
20952,"Trachurus symmetricus","jack mackerel",1984
20971,"Melanocetus johnsonii","common blackdevil",1991
20980,"Ceratiidae","seadevils unid.",1984
30270,"Sebastes helvomaculatus","rosethorn rockfish",1984
30280,"Sebastes hopkinsi","squarespot rockfish",1984
30290,"Sebastes jordani","shortbelly rockfish",1984
30295,"Sebastes lentiginosus","freckled rockfish",1989
30300,"Sebastes levis","cowcod",1984
24187,"Lycodes concolor","ebony eelpout",1984
24188,"Lycodes polaris","Canadian eelpout",1984
24189,"Lycodes turneri","polar eelpout",1984
24190,"Lycodes diapterus","black eelpout",1984
24191,"Lycodes brevipes","shortfin eelpout",1984
24192,"Gymnelus viridis","fish doctor",1984
24193,"Gymnelus sp.","",1989
24194,"Gymnelus hemifasciatus","halfbarred eelpout",1991
24200,"Lycodes pacificus","blackbelly eelpout",1984
24220,"Bothrocara sp.","",1984
72801,"Velutina nana","",1984
72802,"Velutina plicatilis","oblique lamellaria",1984
72803,"Limneria prolongata","conical lamellaria",1989
72804,"Velutina prolongata","elongate lamellaria",1989
72805,"Velutina velutina","smooth lamellaria",1989
73183,"Admete virdula","northern Admete",1984
73185,"Admete laevior","smooth nutmeg shell",1989
73186,"Admete solida","noble Admete",1989
73351,"Cylichna alba","white chalice-bubble",1989
74000,"Bivalvia","bivalve unid.",2010
74050,"Mytilidae","mussel unid.",1984
74060,"Modiolus modiolus","northern horsemussel",1984
