"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED"
74065,"Mytilus sp.","",1984
74070,"Mytilus californianus","California mussel",1984
74080,"Mytilus edulis","blue mussel",1984
74100,"Pectinidae","scallop unid.",2010
74104,"Chlamys sp.","",1984
74105,"Chlamys behringiana","Iceland scallop",1984
74106,"Chlamys rubida","reddish scallop",1984
74107,"Chlamys hastata","spiny scallop",1984
74112,"Chlamys pseudoislandica","false Iceland scallop",1984
74120,"Patinopecten caurinus","weathervane scallop",1984
72305,"Trichotropis bicarinata","two-keel hairysnail",1984
72370,"Neoiphinoe kroyeri","Kroyer hairy snail",1984
72380,"Torellia ammonia","rams-horn hairysnail",1993
72403,"Nodulotrophon coronatus","",1984
72406,"Boreotrophon clathratus","clathrate trophon",1984
72407,"Nipponotrophon stuarti","winged trophon",1995
72420,"Boreotrophon sp.","",1984
72421,"Boreotrophon pacificus","",1984
72423,"Ceratostoma foliatum","foliate thornmouth",1989
72500,"Fusitriton oregonensis","Oregon triton",1984
72501,"Fusitriton sp.","",1984
72510,"Trochidae","trochid unid.",1984
72511,"Calliostoma sp.","",1984
72512,"Calliostoma platinum","silvery topsnail",1984
72520,"Bathybembix bairdii","",1984
72525,"Cidarina cidaris","",1995
72531,"Margarites sp.","",1984
72532,"Margarites pupillus","little margarite",1984
72533,"Margarites giganteus","giant margarite",1984
72534,"Margarites argentatus","",1989
72535,"Margarites costalis","boreal rosy margarite",1989
72540,"Solariella sp.","",1984
72541,"Solariella obscura","obscure solarelle",1984
72543,"Solariella varicosa","varicose solarelle",1984
72740,"Buccinum sp.","",1984
72741,"Buccinum polium","",1984
72742,"Buccinum ochotense","Okhotsk whelk",1984
72743,"Buccinum angulosum","angular whelk",1984
72744,"Buccinum fringillum","finch whelk",1984
72746,"Buccinum simulatum","",1995
72747,"Buccinum oedematum","swollen whelk",1995
72748,"Buccinum eugrammatum","lirate whelk",1995
72750,"Buccinum strigillatum","",1984
72751,"Buccinum plectrum","sinuous whelk",1984
71771,"Neoberingius frielei","",1984
71772,"Beringius beringii","",1984
71774,"Beringius stimpsoni","",1984
71775,"Beringius crebricostatus","thick-cord whelk",1984
71776,"Beringius undatus","",1995
71800,"Neptunea sp.","",1984
71810,"Neptunea amianta","white neptune",1984
71820,"Neptunea pribiloffensis","Pribilof whelk",1984
71835,"Neptunea borealis","",1984
71850,"Neptunea eulimata","",1984
71860,"Neptunea neptunea","",1984
71870,"Neptunea lyrata","lyre whelk",1984
71880,"Neptunea vermii","",1984
71882,"Neptunea ventricosa","fat whelk",1984
71884,"Neptunea heros","",1984
71886,"Clinopegma magnum","helmet whelk",1989
71890,"Plicifusus sp.","",1984
71891,"Plicifusus kroyeri","",1984
71892,"Plicifusus incisus","",1988
71893,"Plicifusus brunneus","brown whelk",1984
71894,"Plicifusus verkruzeni","",1984
71895,"Colus callorhinus","",1997
71900,"Colus griseus","gray whelk",1984
71901,"Sulcosinus taphrius","sulcated whelk",1995
71904,"Exilioidea rectirostris","",1991
71906,"Mohnia robusta","",1984
71910,"Liomesus sp.","",1989
71911,"Pseudoliomesus ooides","egg whelk",1984
71960,"Ancistrolepis sp.","",1984
72019,"Antiplanes sp.","",1984
72022,"Antiplanes piona","",1988
72059,"Aforia sp.","",1984
72060,"Aforia goodei","",1984
72063,"Aforia circinata","keeled Aforia",1984
72100,"Oenopota sp.","",1984
72103,"Oenopota harpa","",1984
72181,"Obesotoma simplex","",1984
72300,"Trichotropidae","",1984
72303,"Trichotropis insignis","gray hairysnail",1984
72304,"Neoiphinoe coronata","crowned hairysnail",1988
71631,"Tachyrhynchus sp.","",1984
71634,"Tachyrhynchus erosus","eroded turretsnail",1984
71635,"Tachyrhynchus reticulatus","reticulated turretsnail",1984
71640,"Crepidula sp.","slipper shell",1984
71681,"Grandicrepidula grandis","great slippersnail",1984
71700,"","whelk unid.",1984
71710,"Colus sp.","",1984
71718,"Colus periscelidus","garter whelk",1995
71719,"Colus jordani","",1991
71721,"Colus herendeenii","thin-ribbed whelk",1984
71722,"Colus hypolispus","",1984
71723,"Colus ombronius","shady whelk",1984
71724,"Retifusus roseus","rosy whelk",1989
71725,"Colus esychus","",1989
71726,"Colus spitzbergensis","thick-ribbed whelk",1984
71730,"Colus aphelus","oblique whelk",1984
71731,"Colus halli","shrew whelk",1984
71732,"Colus datuzenbergii","",1989
71733,"Colus bristolensis","",1989
71748,"Habevolutopsius hirasei","",1995
71749,"Pyrulofusus dexius","",1995
71750,"Volutopsius sp.","",1984
71753,"Pyrulofusus deformis","warped whelk",1988
71755,"Pyrulofusus harpa","left-hand whelk",1997
71756,"Volutopsius fragilis","fragile whelk",1984
71757,"Volutopsius regularis","regular whelk",1995
71759,"Lussivolutopsius filosus","threaded whelk",1984
71760,"Volutopsius castanea","volute whelk",1984
71761,"Pyrulofusus melonis","",1988
71762,"Volutopsius simplex","simple whelk",1989
71763,"Volutopsius stefanssoni","shouldered whelk",1984
71764,"Volutopsius middendorffi","tulip whelk",1984
71765,"Volutopsius trophonius","frilled whelk",1984
71769,"Beringius sp.","",1984
71770,"Beringius kennicottii","",1984
71021,"Dendronotus frondosus","frond-aeolis",1984
71022,"Dendronotus subramosus","stubby frond-aeolis",1984
71025,"Tritonia sp.","",1984
71030,"Tritonia diomedea","rosy Tritonia",1984
71050,"Triopha catalinae","sea-clown Triopha",1984
71080,"Armina californica","California Armina",1984
71202,"Chlamylla sp.","",1984
71230,"Peltodoris nobilis","Pacific sea lemon",1984
71250,"Dorididae","dorid nudibranch unid.",1984
71260,"Doris odhneri","white night doris",1984
71291,"Pleurobranchaea californica","California sea slug",1990
71350,"Cranopsis major","great puncturella",1995
71400,"Acmaea sp.","",1984
71405,"","limpet unid.",1989
71500,"Gastropoda","snail unid.",1984
71504,"Asterophila japonica","",1989
71510,"Naticidae","moonsnail",1984
71515,"Bulbus fragilis","fragile moonsnail",1989
71525,"Natica sp.","",1987
71530,"Natica clausa","",1984
71535,"Cryptonatica aleutica","Aleutian moonsnail",1984
71537,"Cryptonatica russa","rusty moonsnail",1989
71540,"Muricidae","",1984
71541,"Nucella canaliculata","channelled dogwinkle",1984
71542,"Nucella lamellosa","frilled dogwinkle",1984
71570,"Euspira lewisii","",1984
71575,"Euspira sp.","",1984
71580,"Lunatia pallida","pale moonsnail",1984
71585,"Onchidiopsis glacialis","icy lamellaria",1989
71586,"Capulacmaea commoda","widemouth lamellaria",1989
69325,"Paralithodes californiensis","California king crab",1987
69329,"Cryptolithodes sp.","",1984
69330,"Paralomis sp.","",1984
69335,"Paralomis multispina","many spine spider crab",1984
69336,"Placetron wosnessenskii","scaled crab",1988
69400,"Erimacrus isenbeckii","horsehair crab",1984
69520,"Hyas sp.","",1984
69530,"Pugettia sp.","kelp crab",1984
69531,"Pugettia gracilis","graceful kelp crab",1984
69540,"Scyra acutifrons","",1984
69550,"Galatheidae","galatheid crab unid.",1988
69554,"Chirostylus sp.","",1988
69556,"Munida quadrispina","pinchbug",1988
69652,"Callianassa goniophthalma","",1984
69653,"Callianassa californiensis","ghost shrimp",1992
69655,"Upogebia pugettensis","blue mud shrimp",1984
69900,"Pycnogonida","sea spider unid.",1988
69911,"Colossendeis dofleini","",1995
70000,"Mollusca","mollusk unid.",1989
70100,"Polyplacophora","chiton unid.",2010
70108,"Cryptochiton stelleri","giant Pacific chiton",1990
70115,"Amicula vestita","",1989
70119,"Placiphorella sp.","",1984
70125,"Leptochiton alveolus","",1995
71001,"gastropod egg","snail  egg",1984
71002,"Buccinum sp. egg","",1993
71003,"Fusitriton oregonensis egg","",1993
71010,"Nudibranchia","nudibranch unid.",2010
71011,"Onchidoris bilamellata","barnacle-eating Onchidoris",1989
71012,"Tochuina gigantea","giant orange tochui",1984
71018,"Dendronotus sp.","",1984
71020,"Dendronotus dalli","Dall dendronotid",1984
69035,"Pagurus sp.","",1984
69042,"Pagurus brandti","sponge hermit",1997
69060,"Pagurus aleuticus","Aleutian hermit",1984
69061,"Labidochirus splendescens","splendid hermit",1984
69070,"Pagurus confragosus","knobbyhand hermit",1997
69080,"Pagurus cornutus","hornyhand hermit",1984
69082,"Pagurus dalli","whiteknee hermit",1984
69085,"Pagurus kennerlyi","bluespine hermit",1984
69086,"Pagurus trigonocheirus","fuzzy hermit crab",1984
69090,"Pagurus ochotensis","Alaskan hermit",1984
69095,"Pagurus rathbuni","longfinger hermit",1984
69100,"Pagurus tanneri","longhand hermit",1984
69110,"Elassochirus tenuimanus","widehand hermit crab",1984
80015,"Evasterias troschelii","mottled sea star",1984
80018,"Diamphiodia occidentalis","",1984
80020,"Evasterias echinosoma","giant sea star",1984
80105,"Orthasterias sp.","",1984
80106,"Orthasterias koehleri","redbanded sea star",1984
80110,"Leptasterias groenlandica","",1984
80111,"Leptasterias hexactis","",1984
80112,"Leptasterias hylodes","Aleutian sea star",1984
80120,"Rathbunaster californicus","",1984
80160,"Pycnopodia helianthoides","sunflower sea star",1984
80170,"Stylasterias forreri","long-rayed star",1984
80171,"Stylasterias sp.","",1984
75244,"Macoma secta","white-sand Macoma",1984
75247,"Macoma brota","heavy Macoma",1984
75264,"Siliqua sp.","",1984
75266,"Siliqua patula","Pacific razor",1984
75267,"Siliqua alta","Alaska razor",1984
75284,"Serripes sp.","",1984
75285,"Serripes groenlandicus","Greenland cockle",1984
75286,"Serripes laperousii","broad cockle",1984
75332,"Mya arenaria","softshell",1984
75333,"Mya truncata","truncate softshell",1989
75335,"Mya pseudoarenaria","false softshell",1989
75372,"Xylophaga californica","",1984
75381,"Teredinidae","shipworm unid.",1989
75382,"Bankia setacea","feathery shipworm",1989
75410,"Lyonsia arenosa","sandy Lyonsia",1984
75551,"Cardiomya sp.","",1984
75600,"Pododesmus macrochisma","Alaska falsejingle",1984
75605,"Pododesmus sp.","",1984
75609,"Anomia sp.","",1984
75610,"Anomiidae","falsejingle unid.",1984
77000,"Scaphopoda","scaphopod unid.",2010
77011,"Dentalium sp.","",1984
77012,"Rhabdus dalli","Dall tuskshell",1984
77102,"Compressidens stearnsii","Stearns toothshell",1984
78000,"Cephalopoda","cephalopod unid.",2010
78010,"Octopodidae","octopus unid.",1984
78011,"","pelagic octopus unid.",1984
78012,"Benthoctopus leioderma","smoothskin octopus",1989
78030,"Opisthoteuthis californiana","flapjack devilfish",1991
78403,"Enteroctopus dofleini","giant octopus",1984
74650,"Cardita sp.","",1984
74653,"Cyclocardia ventricosa","stout Cyclocardia",1984
74654,"Cyclocardia crassidens","thick carditid",1984
74655,"Cyclocardia crebricostata","many-rib Cyclocardia",1984
74656,"Cyclocardia sp.","",1989
74712,"Vesicomya pacifica","",1984
74801,"Lasaeidae","",1989
74803,"Kellia laperousii","La Perouse kellyclam",1989
74980,"Clinocardium sp.","",1989
74981,"","cockle unid.",1984
74982,"Clinocardium nuttallii","Nuttall cockle",1984
74983,"Ciliatoclinocardium ciliatum","hairy cockle",1984
74985,"Clinocardium californiense","California cockle",1987
74986,"Clinocardium blandum","low-rib cockle",1989
75016,"Compsomyax subdiaphanus","milky venus",1984
75020,"Saxidomus nuttalli","Washington clam",1984
75021,"Saxidomus gigantea","butter clam",1989
75025,"Humilaria kennerleyi","Kennerleys venus",1984
75092,"Liocyma fluctosa","wavy Liocyma",1989
75102,"Tresus nuttallii","Pacific gaper",1984
75103,"Tresus capax","fat gaper",1984
75110,"Mactromeris sp.","",1984
75111,"Mactromeris polynyma","Arctic surfclam",1984
75201,"Tellina sp.","",1984
75202,"Tellina carpenteri","carpenter tellin",1984
75203,"Tellina nuculoides","salmon tellin",1989
75205,"Tellina lutea","Alaska great-tellin",1984
75240,"Macoma sp.","",1984
75241,"Macoma nasuta","bent-nose Macoma",1984
75242,"Macoma calcarea","chalky Macoma",1984
74171,"Delectopecten vancouverensis","Vancouver scallop",1984
74175,"Parvamussium alaskense","Alaska glass-scallop",1989
74176,"Cyclopecten sp.","",1989
74301,"Panopea generosa","Pacific geoduck",1984
74310,"Hiatella sp.","",1984
74311,"Hiatella arctica","Arctic Hiatella",1984
74320,"Panomya arctica","",1984
74333,"Nucula tenuis","smooth nutclam",1984
74342,"Acila castrensis","divaricate nutclam",1984
74414,"Yoldia sp.","",1984
74415,"Yoldia montereyensis","",1984
74416,"Yoldia seminuda","crisscrossed Yoldia",1984
74417,"Yoldia myalis","oval Yoldia",1984
74420,"Yoldia hyperborea","northern Yoldia",1989
74421,"Portlandia sp.","",1989
74425,"Yoldiella sp.","",1984
74435,"Nuculana sp.","",1984
74436,"Nuculana pernula","northern nutclam",1984
74439,"Nuculana fossa","trenched nutclam",1984
74440,"Nuculana buccata","stout nutclam",1989
74481,"Limopsis akutanica","Akutan limops",1989
74560,"Musculus sp.","",1984
74561,"Musculus niger","black mussel",1984
74562,"Musculus discors","discordant mussel",1984
74563,"Musculus olivaceus","",1989
74564,"Crenella seminuda","partly-sculptured Crenella",1989
74639,"Astarte crenata","crenulate Astarte",1989
74640,"Astarte sp.","",1984
74641,"Astarte borealis","boreal Astarte",1984
74642,"Astarte polaris","polar Astarte",1984
74644,"Tridonta rollandi","Rolland Tridonta",1989
72752,"Buccinum scalariforme","ladder whelk",1984
72755,"Buccinum polare","polar whelk",1984
72756,"Buccinum solenum","",1984
72758,"Buccinum glaciale","glacial whelk",1984
72759,"Buccinum tenellum","",1984
72760,"Buccinum castaneum","chestnut whelk",1995
72761,"Searlesia dira","dire whelk",1989
72790,"Arctomelon stearnsii","Alaska volute",1984
72795,"Volutomitra alaskana","",1989
72800,"Velutina undata","wavy lamellaria",1984
66875,"Systellaspis braueri","Quale spinytail",1988
68000,"","crab unid.",1984
68010,"Cancer sp.","cancer crab unid.",1984
68020,"Cancer magister","Dungeness crab",1984
68040,"Cancer oregonensis","Oregon rock crab",1984
68050,"Cancer productus","red rock crab",1984
68060,"Cancer gracilis","graceful rock crab",1992
68072,"Pinnixa occidentalis","pea crab",1989
68100,"Mursia gaudichaudii","",1984
68500,"Majidae","spider crabs unid.",2010
68502,"Oregonia bifurca","split-nose decorator crab",1984
68510,"Oregonia gracilis","graceful decorator crab",1984
68515,"Loxorhynchus crispatus","spider crab",1992
68520,"Chorilia longipes","longhorned decorator crab",1997
68541,"Chionoecetes sp.","Tanner crab unid.",1984
68550,"Chionoecetes tanneri","grooved Tanner crab",1997
68560,"Chionoecetes bairdi","Tanner crab",1997
68570,"Chionoecetes angulatus","triangle Tanner crab",1997
68577,"Hyas coarctatus","circumboreal toad crab",1984
68578,"Hyas lyratus","Pacific lyre crab",1997
68580,"Chionoecetes opilio","snow crab",1984
68590,"Chionoecetes hybrid","hybrid Tanner crab",1984
68781,"Telmessus cheiragonus","helmet crab",1984
69000,"Anomura","",1984
69010,"Paguridae","hermit crab unid.",1984
66163,"Spirontocaris lamellicornis","Dana blade shrimp",1984
66165,"Spirontocaris snyderi","",1984
66170,"Eualus sp.","",1984
66171,"Eualus barbatus","barbed eualid",1984
66175,"Eualus gaimardii","circumpolar eualid",1984
66179,"Eualus macilentus","Greenland shrimp",1984
66180,"Eualus macrophthalmus","bigeye eualid",1984
66190,"Eualus biunguis","deepsea eualid",1984
66192,"Eualus stoneyi","",1984
66193,"Eualus suckleyi","shortscale eualid",1984
66200,"Lebbeus sp.","",1984
66201,"Lebbeus grandimana","candy stripe shrimp",1984
66203,"Lebbeus groenlandicus","spiny lebbeid",1984
66204,"Lebbeus polaris","",1984
66301,"Heptacarpus sp.","",1984
66500,"Crangonidae","crangonid shrimp unid.",1984
66502,"Crangon sp.","",1984
66510,"Crangon abyssorum","abyssal Crangon",1984
66512,"Crangon alaskensis","shell shrimp",1984
66515,"Crangon communis","twospine Crangon",1997
66520,"Crangon resima","",1984
66530,"Crangon dalli","ridged Crangon",1984
66536,"Mesocrangon intermedia","northern spinyhead",1984
66546,"Lissocrangon stylirostris","smooth Crangon",1984
66548,"Crangon septemspinosa","sevenspine bay shrimp",1997
66570,"Argis sp.","",1984
66575,"Argis alaskensis","common argid",1984
66580,"Argis dentata","Arctic argid",1984
66600,"Sclerocrangon sp.","",1984
66601,"Sclerocrangon boreas","sculptured shrimp",1997
66602,"Rhynocrangon alata","saddleback shrimp",1984
66611,"Argis lar","kuro argid",1984
66612,"Argis crassa","rough argid",1984
66613,"Argis levior","Nelson argid",1984
66614,"Argis ovifer","split-eye argid",1984
66615,"Paracrangon echinata","horned shrimp",1984
66750,"Pasiphaeidae","pasiphaeid shrimp unid.",1984
62000,"Isopoda","isopod unid.",1988
62020,"Saduria entomon","",1989
63000,"Cumacea","cumacean unid.",1988
63500,"Euphausiacea","euphausiid unid.",1984
64011,"Neognathophausia gigas","giant red mysid",1984
64500,"Copepoda","copepod unid.",1988
65000,"Cirripedia","",1984
65100,"Thoracica","barnacle unid.",1984
65101,"Lepas sp.","pelagic gooseneck barnacle",1984
65201,"Balanus sp.","",1984
65202,"Balanus balanus","",1984
65203,"Chirona evermanni","giant barnacle",1988
65204,"Balanus hesperius","crab barnacle",1984
65205,"Balanus rostratus","beaked barnacle",1984
66000,"","shrimp unid.",1984
66003,"Sergestidae","sergestid shrimp unid.",1988
66004,"Sergestes sp.","",1984
66019,"Pandalidae","pandalid shrimp unid.",1984
66020,"Pandalus sp.","",1984
66025,"Pandalus danae","dock shrimp",1984
66030,"Pandalus jordani","ocean shrimp",1984
66031,"Pandalus eous","Alaskan pink shrimp",1984
66033,"Pandalus tridens","yellowleg pandalid",1984
66040,"Pandalus platyceros","spot shrimp",1984
66045,"Pandalus goniurus","humpy shrimp",1984
66050,"Pandalus hypsinotus","coonstripe shrimp",1984
66060,"Pandalopsis aleutica","Aleutian bigeye",1984
66120,"Pandalopsis dispar","sidestripe shrimp",1984
66130,"Pandalopsis ampla","stripeleg pandalid",1984
66150,"Hippolytidae","hippolytid shrimp unid.",1988
66160,"Spirontocaris sp.","",1984
43042,"Urticina crassicornis","mottled anemone",1984
43082,"Cribrinopsis fernaldi","chevron-tentacled anemone",1991
44010,"Javania borealis","Aleutian trumpet coral",1995
44031,"Stylaster verrilli","",1995
44080,"Errinopora zarhyncha","",1995
45000,"Ctenophora","comb jelly unid.",1988
50000,"Polychaeta","polychaete worm unid.",1988
50010,"","tube worm unid.",1984
50100,"Oweniidae","",1984
50160,"Aphroditidae","sea mouse unid.",1984
50190,"Aphrodita japonica","",1984
50192,"Aphrodita negligens","",1984
52715,"Glycera sp.","",1984
53700,"Nephtyidae","cat worm unid.",1986
54010,"Nereis sp.","",1984
54030,"Cheilonereis cyclurus","red and white banded sea nymph",1984
56300,"Polynoidae","scale worm unid.",1984
56310,"Eunoe sp.","",1984
56311,"Eunoe nodosa","giant scale worm",1984
56312,"Eunoe depressa","depressed scale worm",1984
57000,"Sabellidae","sabellid unid.",1988
57410,"Serpula vermicularis","",1988
59000,"","bristle worm unid.",1984
59100,"Hirudinea","leech unid.",2010
59110,"Notostomum sp.","",1984
59111,"Notostomum cyclostomum","striped sea leech",1984
59120,"Notostomobdella sp.","",1984
60001,"Crustacea","crustacean unid.",1988
60100,"Amphipoda","amphipod unid.",1984
60110,"Gammaridae","gammarid amphipod unid.",1984
60130,"Melita dentata","",1984
60140,"Anonyx sp.","",1984
60145,"Caprella sp.","skeleton shrimps",1989
30620,"Sebastes simulator","pinkrose rockfish",1984
30630,"Sebastes (Sebastomus) sp.","white spotted red rockfish unid.",1989
31501,"Scorpaena guttata","California scorpionfish",1984
70127,"Leptochiton belknapi","",2002
71014,"Acanthodoris nanaimoensis","Nanaimo dorid",2002
71016,"Diaulula sandiegensis","",2002
71526,"Cryptonatica affinis","Arctic moonsnail",2002
71773,"Beringius aleuticus","",2002
71896,"Colus oceandromae","seahorse whelk",2002
71912,"Pseudoliomesus canaliculatus","",2002
72020,"Antiplanes catalinae","",2002
72395,"Nipponotrophon scitulus","spiny trophon",2002
72753,"Buccinum aleuticum","Aleut whelk",2002
72754,"Buccinum cnismatum","scratched whelk",2002
72767,"Retifusus sp.","",2002
74177,"Cyclopecten davidsoni","salmon glass-scallop",2002
74321,"Panomya sp.","",2002
74412,"Megayoldia sp.","",2002
74490,"Samacar sp.","",2002
74552,"Solamen columbianum","British Columbia crenella",2002
74643,"Astarte elliptica","elliptical Astarte",2002
74802,"Kellia suborbicularis","suborbicular kellyclam",2002
75030,"Leukoma staminea","Pacific littleneck",2002
78020,"Octopus sp.","",2002
81345,"Pteraster trigonodon","",2002
81831,"Leptychaster propinquus","",2002
83343,"Ophiacantha enneactis","",2002
85202,"Cucumaria frondosa","",2002
95005,"Myriapora sp. cf. subgracilis (Bayer et al.)","",2002
97111,"Frieleia halli","Hall lamp shell",2002
78452,"Benthoctopus sp.","",2002
23933,"Desmodema lorum","whiptail ribbonfish",2002
23970,"Gigantura indica","",2002
21705,"Gadidae","cod unid.",2002
21805,"Sigmops gracilis","slender fangjaw",2002
21422,"Hemitripterus bolini egg","bigmouth sculpin egg",2002
24114,"Bothrocara nyx","shadow eelpout",2002
24231,"Lycodapus poecilus","variform eelpout",2002
71715,"Colus calathus","",2002
71751,"Volutopsius sp. eggs","",2002
72065,"Boreoscala greenlandica","Greenland wentletrap",2002
83055,"Asteronychidae","",2002
80601,"Aleutiaster sp.","",2002
21359,"Archistes biseriatus","scaled sculpin",2002
