"SPECIES_CODE","KINGDOM_TAXON","SUBKINGDOM_TAXON","PHYLUM_TAXON","SUBPHYLUM_TAXON","SUPERCLASS_TAXON","CLASS_TAXON","SUBCLASS_TAXON","INFRACLASS_TAXON","DIVISION_TAXON","SUBDIVISION_TAXON","SUPERORDER_TAXON","ORDER_TAXON","SUBORDER_TAXON","INFRAORDER_TAXON","SUPERFAMILY_TAXON","FAMILY_TAXON","SUBFAMILY_TAXON","TRIBE_TAXON","SUBTRIBE_TAXON","GENUS_TAXON","SUBGENUS_TAXON","SECTION_TAXON","SUBSECTION_TAXON","SPECIES_TAXON","SUBSPECIES_TAXON","REPORT_NAME_SCIENTIFIC"
404,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Raja","","","","","","Raja sp."
405,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Bathyraja","","","","","","Bathyraja sp."
406,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Bathyraja","","","","spinosissima","","Bathyraja spinosissima"
410,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Bathyraja","","","","abyssicola","","Bathyraja abyssicola"
411,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Bathyraja","","","","abyssicola","","Bathyraja abyssicola"
420,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Beringraja","","","","binoculata","","Beringraja binoculata"
421,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Beringraja","","","","binoculata","","Beringraja binoculata"
425,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Raja","","","","inornata","","Raja inornata"
435,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Bathyraja","","","","interrupta","","Bathyraja interrupta"
436,"Animalia","","Chordata","Vertebrata","","Chondrichthyes","Elasmobranchii","Euselachii","Neoselachii","Batoidea","","Rajiformes","","","","Rajidae","","","","Bathyraja","","","","interrupta","","Bathyraja interrupta"
