"SPECIES_CODE","KINGDOM_TAXON","SUBKINGDOM_TAXON","PHYLUM_TAXON","SUBPHYLUM_TAXON","SUPERCLASS_TAXON","CLASS_TAXON","SUBCLASS_TAXON","INFRACLASS_TAXON","DIVISION_TAXON","SUBDIVISION_TAXON","SUPERORDER_TAXON","ORDER_TAXON","SUBORDER_TAXON","INFRAORDER_TAXON","SUPERFAMILY_TAXON","FAMILY_TAXON","SUBFAMILY_TAXON","TRIBE_TAXON","SUBTRIBE_TAXON","GENUS_TAXON","SUBGENUS_TAXON","SECTION_TAXON","SUBSECTION_TAXON","SPECIES_TAXON","SUBSPECIES_TAXON","REPORT_NAME_SCIENTIFIC"
20039,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Podothecus","","","","","","Podothecus sp."
20040,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Podothecus","","","","accipenserinus","","Podothecus accipenserinus"
20041,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Podothecus","","","","veternus","","Podothecus veternus"
20050,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Aspidophoroides","","","","monopterygius","","Aspidophoroides monopterygius"
20051,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Ulcina","","","","olrikii","","Ulcina olrikii"
20055,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Anoplagonus","","","","inermis","","Anoplagonus inermis"
20060,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Chesnonia","","","","verrucosa","","Chesnonia verrucosa"
20061,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Occella","","","","dodecaedron","","Occella dodecaedron"
20071,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Hypsagonus","","","","quadricornis","","Hypsagonus quadricornis"
20075,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Cottoidei","","Cottoidea","Agonidae","","","","Stellerina","","","","xyosterna","","Stellerina xyosterna"
