STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	SOLUZ
1	3201	2.40384084328232	0	1.63664822301382	0	1	0	1	1	4.21032131514133
2	4598	2.92770868092713	0	2.30093592035601	0	1	0	1	2	8.5025210193907
3	35893	3.0164837620406	0	3.22169012488193	0	1	0	1	3	92.9325273433035
4	693	4.5203332344618	0	5.41642005464337	0	1	0	1	4	3.01661436868629
5	5060	2.94874373027399	0	3.45805711547413	0	1	0	1	5	14.0623175966021
1	11451	15.69754014932	0	16.4340709309989	0	1	0	2	1	2.24206662794913
2	10692	35.96721376305	0	99.1592936511371	0	1	0	2	2	12.6314241125107
3	5676	62.1080990456022	0	127.154710752123	0	1	0	2	3	8.59873933452159
4	2497	45.0182462301309	0	60.022948453649	0	1	0	2	4	2
5	24398	25.3578071396286	0	18.5631983820547	0	1	0	2	5	5.39593830659001
1	21571	20.5886141737197	0	44.7187937982513	0	1	0	3	1	9.53632485004403
2	11968	52.1391214318461	0	75.6377743882916	0	1	0	3	2	8.94913375147703
3	21219	82.6555318408747	0	164.47955400574	0	1	0	3	3	34.5030517501746
4	10010	105.282970987371	0	222.866358072507	0	1	0	3	4	22.0546043288448
5	12452	98.6054003524789	0	104.276598264611	0	1	0	3	5	12.836500561203
1	14652	69.7388224509425	0	96.8948337290767	0	1	0	4	1	2
2	3487	454.680905435509	0	812.217192020297	0	1	0	4	2	2.86113500272317
3	7106	1150.67174371412	0	1879.4044818438	0	1	0	4	3	13.4914828793798
4	1287	1824.81996635349	0	1945.83740794773	0	1	0	4	4	2.52987649716895
5	1705	979.537805633772	0	1435.15326488865	0	1	0	4	5	2.47193411883877
1	21681	1867.23795891226	0	3684.47998415929	0	1	0	5	1	3.79530031832757
2	6248	11322.0454369667	0	15041.3682955189	0	1	0	5	2	4.4649746966201
3	1474	20382.3620505861	0	37526.7594133949	0	1	0	5	3	2.62802312451785
4	1111	31474.6931547683	0	55599.3765377864	0	1	0	5	4	2.93477368638101
5	6479	11783.8854146003	0	28671.6006569406	0	1	0	5	5	8.82572832736609
