"Lon","Lat","Area_km2","Depth_m","STRATUM","LOG10_DEPTH_M","LOG10_DEPTH_M_CEN"
-139.56222,59.9878988,13.30186149,236.789184570312,40,2.37436186194995,0.928943872752691
-139.57658,59.9555571,13.46937338,248.064376831055,40,2.39456440209367,1.00232526493372
-141.41919,60.1103808,13.719616,139.852035522461,40,2.14566879183546,0.0982653665959567
-139.65583,59.9303277,10.04651445,154.556427001953,40,2.18908706927282,0.255972943058614
-139.5909,59.9232135,10.87882096,213.236083984375,40,2.3288606982405,0.763670658834868
-141.43176,60.0778532,9.973453481,58.0114860534668,40,1.76351399073142,-1.28982994885378
-141.36618,60.0716066,13.54029918,146.413330078125,40,2.16558061849716,0.170590804432417
-141.30062,60.0653279,7.136037136,23,40,1.36172783601759,-2.74923194396041
-139.73497,59.905051,6.989962932,12.5135107040405,40,1.09737916944527,-3.70942175357246
-139.67007,59.8979754,13.719616,257.625701904297,40,2.41098918802938,1.06198477555287
-141.3133,60.0328111,11.28212075,110.442344665527,40,2.04313561803687,-0.274164386521998
-139.74912,59.8726901,11.65393824,66.9906158447266,40,1.82601397027859,-1.06281218386823
-139.68428,59.8656213,13.719616,255.896118164062,40,2.40806369787345,1.05135856028853
-141.39138,60.0065593,10.64797415,97.3981399536133,40,1.988550663084,-0.472432523008082
-141.32595,60.0002929,13.719616,31.6490268707275,40,1.50036036107785,-2.24567904327943
-139.76324,59.8403273,11.67567262,42.2607421875,40,1.62593711990762,-1.78954841203423
-139.69846,59.8332653,13.719616,208.431838989258,40,2.31896406031454,0.727723245106066
-139.63371,59.8261718,12.57061608,49.3022918701172,40,1.69286710839305,-1.54643959013451
-146.16845,60.3395645,13.24068806,15.1065673828125,41,1.17916579219731,-3.41234939551079
-146.1016,60.3356515,13.719616,15.6146430969238,41,1.19353206203353,-3.36016700292401
-146.03476,60.3317055,13.719616,16.7240180969238,41,1.22334062882515,-3.25189378012479
-145.96795,60.3277263,13.719616,18.7052783966064,41,1.2719641763252,-3.07527917706245
-145.90115,60.3237141,13.719616,14.7202920913696,41,1.16791642769248,-3.45321029828066
-145.83437,60.3196688,13.719616,11.3429679870605,41,1.05472670638683,-3.86434767362572
-145.63411,60.3073348,13.719616,12.1690263748169,41,1.08525583238295,-3.75345717412771
-141.46935,59.9802618,12.5689176,60.8523216247559,40,1.78427715199232,-1.21441222075792
-141.40395,59.9740335,13.719616,30.0403366088867,40,1.47770479472904,-2.32797052680074
-139.77733,59.8079627,13.71291499,38.6919937133789,40,1.58762110853775,-1.92872310180805
-139.71261,59.8009075,13.719616,54.5700492858887,40,1.73695434602393,-1.38630215930869
-139.64792,59.7938208,13.719616,26.7990493774414,40,1.42811938889991,-2.50807887385599
-146.30997,60.3143951,13.719616,16.0996646881104,41,1.20681683096229,-3.31191293032417
-146.24316,60.3105522,13.719616,23.2630958557129,41,1.36666751020262,-2.73128963739702
-146.17636,60.3066763,13.719616,32.9886741638184,41,1.51836486131957,-2.1802815594055
-146.10958,60.3027672,13.719616,39.8850898742676,41,1.60081057499711,-1.88081519497912
-146.04281,60.2988251,13.719616,45.1431694030762,41,1.65459204667676,-1.68546553907832
-145.97606,60.29485,13.719616,48.1520042419434,41,1.68261436857584,-1.5836804675739
-145.90933,60.2908418,13.719616,47.8278427124023,41,1.67968079234533,-1.59433605376912
-145.84261,60.2868005,13.719616,33.6942672729492,41,1.52755601649419,-2.1468966603944
-145.77591,60.2827263,13.719616,39.6194076538086,41,1.59790797815343,-1.89135825519901
-145.70922,60.278619,13.719616,34.6884918212891,41,1.5401854180914,-2.10102306900324
-145.64256,60.2744787,13.719616,26.2014598846436,41,1.41832548987629,-2.54365311056688
-145.57591,60.2703055,13.719616,18.8254127502441,41,1.27474450695446,-3.06518022263162
-145.50927,60.2660993,13.719616,12.8428783416748,41,1.1086623685783,-3.66843795377563
-145.44266,60.2618601,13.719616,13.0777139663696,41,1.11653183431243,-3.63985380806012
-145.37606,60.257588,12.07622631,13,41,1.11394335230684,-3.64925591353076
-142.92521,60.0764843,11.99534937,13,40,1.11394335230684,-3.64925591353076
-142.85936,60.0709706,13.719616,30.6666526794434,40,1.48666637454192,-2.29541951103082
-142.79354,60.0654245,13.719616,36.7448654174805,40,1.56519666106244,-2.01017509561291
-142.72773,60.0598461,13.719616,41.5651588439941,40,1.61872944452607,-1.81572874629539
-142.66195,60.0542353,13.719616,36.818042755127,40,1.56606069771386,-2.00703666787435
-142.59619,60.0485921,13.719616,32.0078239440918,40,1.50525614958315,-2.22789614203101
-142.53045,60.0429167,13.719616,37.1330490112305,40,1.56976061080405,-1.99359752747045
-142.46474,60.0372089,13.719616,39.6785163879395,40,1.59855542516115,-1.88900654286719
-142.39905,60.0314689,13.719616,38.5664329528809,40,1.58620947240196,-1.9338505671743
-142.33338,60.0256966,13.719616,40.5447006225586,40,1.60793409798536,-1.85494052622991
-142.26773,60.0198921,13.719616,27.4933967590332,40,1.43922839944958,-2.46772777671231
-142.20211,60.0140553,13.719616,24,40,1.38021124171161,-2.68209493879053
-142.13651,60.0081863,13.719616,18,40,1.25527250510331,-3.13590809121766
-142.07093,60.0022851,13.719616,13,40,1.11394335230684,-3.64925591353076
-141.54718,59.9539186,13.22835432,65.1899642944336,40,1.81418074317035,-1.10579384226464
-141.48182,59.9477284,13.719616,61.6304092407227,40,1.78979505155994,-1.194369634563
-141.41649,59.9415061,13.6905033,27.319751739502,40,1.43647674849946,-2.47772255836253
-139.85608,59.7826131,13.719616,41.3418006896973,40,1.6163893888991,-1.82422849625092
-139.7914,59.7755963,13.719616,56.2225227355957,40,1.7499103287415,-1.33924233207286
-139.72674,59.7685479,13.719616,82.3012466430664,40,1.91540641365825,-0.738113314369726
-139.6621,59.761468,13.719616,134.906860351562,40,2.13003403519504,0.0414754678741039
-139.5975,59.7543566,13.46457192,95.460823059082,40,1.97982517451458,-0.504125987994609
-146.45128,60.2890773,12.47307421,12,41,1.07918124604762,-3.77552180555717
-146.3845,60.2853045,13.719616,26.578649520874,41,1.42453291037148,-2.52110598755415
-146.31774,60.2814985,13.719616,35.2218971252441,41,1.54681274427282,-2.07695072868509
-146.25099,60.2776595,13.719616,49.5721664428711,41,1.69523789920825,-1.53782820120263
