"Id","Area_km2","Lon","Lat","DEPTH_EFH","E_km","N_km","shallower_than_700m","trawlable","shallow_trawlable","LOG_DEPTH_EFH","LOG_DEPTH_EFH_CEN","LOG_DEPTH_EFH_CEN_SQ","stratum"
602648,13.30186149,-139.5622233,59.9878988,258,1246.32267418136,6726.37303022708,TRUE,FALSE,FALSE,5.55295958492162,0.916226665943926,0.839471303386723,40
603991,13.46937338,-139.5765759,59.95555707,267,1246.2669071327,6722.65837631762,TRUE,FALSE,FALSE,5.58724865840025,0.977163889053991,0.95484926607112,40
605306,13.719616,-141.419187,60.11038084,158,1141.5709223408,6720.20627233839,TRUE,TRUE,TRUE,5.06259503302697,0.0447696368500313,0.00200432038368368,40
605333,10.04651445,-139.6558328,59.93032765,168,1242.47066658474,6718.9883746143,TRUE,TRUE,TRUE,5.12396397940326,0.153832168962254,0.0236643362076314,40
605334,10.87882096,-139.5909004,59.92321351,242,1246.2109001445,6718.94371925946,TRUE,TRUE,TRUE,5.48893772615669,0.802449479928364,0.643925167837302,40
606649,9.973453481,-141.4317639,60.07785323,75,1141.51514282666,6716.49856434082,TRUE,TRUE,TRUE,4.31748811353631,-1.279405734122,1.63687903250425,40
606650,13.54029918,-141.3661797,60.07160664,166,1145.24932004347,6716.45276799298,TRUE,TRUE,TRUE,5.11198778835654,0.132548542670128,0.0175691161639748,40
606651,7.136037136,-141.3006204,60.06532793,78,1148.98370714648,6716.40700873431,TRUE,TRUE,TRUE,4.35670882668959,-1.20970419058374,1.46338422871586,40
606676,13.719616,-139.6700689,59.89797537,276,1242.41444119591,6715.27398035325,TRUE,TRUE,TRUE,5.62040086571715,1.03608071732933,1.07346325282166,40
607994,11.28212075,-141.3132971,60.03281114,130,1148.92768496306,6712.69883747025,TRUE,TRUE,TRUE,4.86753445045558,-0.30188453120554,0.0911342701811889,40
608018,11.65393824,-139.7491168,59.87269005,87,1238.61801651567,6711.60479457457,TRUE,TRUE,TRUE,4.46590811865458,-1.01563940717457,1.03152340540592,40
608019,13.719616,-139.6842773,59.86562125,275,1242.35797141291,6711.55957798294,TRUE,TRUE,TRUE,5.61677109766657,1.02963003309974,1.06013800506097,40
609336,10.64797415,-141.3913836,60.00655931,117,1145.13710374671,6709.03688502445,TRUE,TRUE,TRUE,4.76217393479776,-0.489127188947032,0.239245406967225,40
